salary,"height, cm","weight, kg",game_started,mins,sub_on,total_wins,goals,duel_won,accurate_cross,assist,yellow_card,won_tackle,aerial_won,ontarget_scoring_att,successful_short_pass,won_corners,ball_recovery,total_offside
900000,194,94,16,1438,4,4,1,57,0,0,6,4,35,1,676,0,58,0
706667,175,80,16,1573,7,3,0,104,24,2,7,13,38,8,853,10,137,0
173934,193,86,7,630,0,2,0,3,0,0,0,0,2,0,101,0,62,0
643100,175,78,25,2198,0,9,0,133,1,0,8,39,50,4,1356,4,154,0
1254000,164,52,18,1652,4,3,1,96,4,0,5,22,17,5,564,8,75,0
144667,173,70,16,1369,2,7,0,68,4,1,4,12,12,1,265,3,73,0
370000,181,75,29,2546,2,19,3,165,23,5,2,39,32,10,1096,27,199,0
1206750,178,72,29,2355,0,4,0,170,7,0,6,50,19,2,959,5,178,0
175000,183,71,16,1305,5,8,0,88,0,1,1,28,12,2,644,2,102,1
85500,180,70,2,201,2,2,0,8,0,0,0,3,2,2,35,1,6,1
66724,178,74,0,128,7,1,0,10,1,1,0,3,1,1,47,1,13,0
248500,183,72,16,1734,11,11,2,118,1,1,3,23,30,9,768,6,134,2
276250,175,71,0,94,7,3,0,7,0,0,1,1,1,0,18,1,6,0
647860,168,64,14,1234,9,9,7,59,7,1,2,6,6,15,346,12,75,5
84000,193,93,2,275,9,4,0,20,0,0,0,1,13,0,96,0,8,0
1300000,160,52,27,2385,3,14,3,138,54,11,4,28,9,23,1020,27,127,5
185000,191,82,33,2970,0,9,0,13,0,0,2,0,12,0,699,0,268,0
400000,173,73,30,2668,0,14,2,98,10,3,2,14,32,2,1109,7,143,2
443750,181,84,33,2970,0,21,0,105,0,2,4,31,28,1,1234,2,246,0
1500000,180,75,27,2290,5,12,1,115,1,1,6,30,22,1,1001,2,116,0
612500,181,75,6,717,8,3,2,32,1,2,3,2,8,7,108,3,7,1
1052750,186,90,30,2655,0,11,0,172,3,4,15,33,44,5,854,4,195,1
668900,186,82,27,2312,1,8,2,104,29,4,3,36,29,5,668,12,114,3
164417,178,80,0,62,6,1,1,14,0,0,0,1,3,2,15,0,4,0
200000,185,75,23,2024,3,10,2,65,7,0,3,15,17,3,964,3,117,0
572500,178,68,9,885,14,9,2,47,1,0,2,15,2,5,421,1,56,2
145000,175,79,16,1391,6,7,0,51,0,1,6,18,6,0,744,1,107,0
240204,175,70,25,2226,3,7,0,117,20,2,5,23,18,0,661,19,120,6
93988,183,77,5,706,17,9,4,66,1,3,3,12,23,11,96,4,18,4
579200,185,84,30,2700,1,16,0,86,0,2,7,11,49,1,808,0,141,1
263750,178,75,31,2645,3,14,1,131,11,3,4,52,10,4,553,19,151,4
122000,170,66,3,453,12,5,0,26,5,3,3,5,2,1,192,5,35,0
1236667,195,81,10,888,16,8,2,55,2,0,0,5,27,12,124,7,21,10
250000,181,75,14,1241,7,8,0,48,2,2,2,10,15,2,433,1,78,1
272125,185,82,23,1925,1,13,2,91,0,0,6,16,54,2,869,1,81,1
267500,180,68,17,1546,2,5,0,65,23,3,1,24,11,0,625,5,111,1
200000,185,80,2,93,0,1,0,4,1,0,0,0,0,0,35,1,2,0
91219,183,75,9,794,8,4,4,58,4,1,0,2,23,7,110,6,22,6
66724,183,78,0,118,6,1,0,10,1,0,1,2,2,0,31,1,12,0
167000,183,75,4,313,1,3,0,22,2,0,2,5,1,1,48,0,24,0
1130000,167,66,19,1365,1,10,6,47,7,4,3,5,6,11,261,14,57,5
238000,183,79,1,66,3,1,0,4,0,0,0,4,0,0,35,0,9,0
343813,183,79,27,2477,2,19,2,159,29,3,3,34,71,7,795,27,168,1
281250,183,75,22,1833,5,9,0,118,12,4,7,24,28,7,559,11,107,1
455833,178,73,11,946,3,3,0,38,1,1,2,8,6,4,298,2,64,0
1650000,185,69,24,2000,4,10,5,86,4,2,3,10,8,24,422,20,63,12
445938,193,88,30,2700,0,13,0,12,0,0,0,0,9,0,268,2,276,0
170000,193,84,25,2237,3,17,1,121,0,0,6,27,61,3,972,2,128,0
248333,188,82,4,410,1,1,0,3,0,0,0,0,2,0,41,0,35,0
1026250,175,69,19,1653,5,3,4,80,6,2,2,16,7,6,791,3,99,4
469375,191,81,17,1417,2,8,2,100,0,1,6,19,48,2,422,2,121,0
3227000,179,78,12,1256,17,7,7,81,3,2,7,7,20,19,240,13,53,11
133000,175,70,5,486,7,4,0,30,0,0,0,5,6,0,227,3,44,0
467100,165,62,25,2192,9,7,9,138,8,4,7,23,14,24,307,26,102,22
257496,169,66,19,1543,0,8,5,76,14,9,2,22,2,10,615,17,82,2
134000,173,72,7,793,14,9,3,30,1,0,0,2,4,6,191,1,26,0
572250,182,73,9,884,8,7,0,46,0,1,1,13,1,4,414,3,77,1
429750,171,73,19,1714,6,10,1,96,1,2,5,23,23,2,850,2,158,0
91400,183,73,7,633,12,6,0,30,8,1,0,5,8,1,309,7,54,0
231000,196,93,18,1856,7,11,0,77,0,1,6,21,37,4,980,0,108,0
700000,191,102,21,1817,0,10,0,10,0,0,3,0,9,0,141,0,156,0
84000,178,81,11,876,5,10,1,44,2,1,7,5,11,3,327,2,53,0
150000,183,84,7,634,2,4,1,15,1,0,0,3,9,1,197,1,45,1
88444,178,72,1,114,3,3,0,6,0,0,0,0,1,0,46,0,4,0
